slotting_idx,pareto_count,distancia_total,sku_distancia,penalizado
1,1,2005040.0999999996,2146283.8,True
2,5,1547802.15,2420279.4250000003,True
3,1,1822272.9999999998,2374620.7000000007,True
4,1,1730912.5999999996,2237651.0000000005,True
5,1,1913549.5999999996,2192024.000000001,True
6,1,1913627.1999999997,2374620.7000000007,True
7,1,1822224.0749999997,2603003.225000001,True
8,1,1913503.7749999997,2374687.250000001,True
9,1,1913318.4249999996,2557329.4750000006,True
10,1,1639217.2,2237621.0000000005,True
11,1,2005036.9749999996,2055011.1500000004,True
12,1,1730545.7999999998,2191996.9500000007,True
13,1,2004920.9249999998,2283350.7,True
14,2,1913463.7749999997,2237666.75,True
15,1,1822275.225,2374653.625000001,True
16,1,2005064.5499999996,2054953.275,True
17,1,1822227.6749999998,2465983.3750000014,True
18,1,2005106.5999999996,2466003.3000000007,True
19,2,1639167.85,2191998.8750000005,True
20,1,1913585.5249999997,2466033.1000000006,True
21,1,1456717.2,2283246.0,True
22,1,1913609.4499999995,2283287.125000001,True
23,1,1913544.2249999996,2374697.625,True
24,1,1730832.2,2191974.5250000004,True
25,1,2005116.9,2465999.3500000006,True
26,1,1913673.3999999994,2328988.4500000007,True
27,1,1730712.8250000002,2237652.6250000005,True
28,1,1913656.4999999995,2328987.150000001,True
29,1,1913580.6749999998,2374653.8750000005,True
30,1,1822235.6999999997,2328936.75,True
